,BTC,ETH,USDT,USDC,BNB,XRP,BUSD,DOGE,ADA,MATIC,timestamp,ValueCategory
65,12180.0,3080.0,15840.0,1690.0,301.0,932.0,3470.0,257.0,140.0,158.0,2023-01-03 15:00:04.702528,24h Volume in M$
66,-0.11,-0.54,0.01,-0.01,-0.66,-0.78,-0.03,-1.59,-0.06,-0.31,2023-01-03 15:00:04.709895,24h Change in %
67,321060.0,147990.0,66240.0,44740.0,39130.0,17270.0,16470.0,9380.0,8730.0,6780.0,2023-01-03 15:00:04.716580,Market Cap in M$
68,16776.89,1222.92,1.02,1.0,248.61,0.347,1.0,0.07189,0.2573,0.7909,2023-01-03 15:30:04.242047,Price in $
69,12590.0,3220.0,16520.0,1860.0,373.0,942.0,3610.0,268.0,143.0,165.0,2023-01-03 15:30:04.248110,24h Volume in M$
70,-0.34,-0.85,0.11,-0.03,-0.6,-1.3,0.06,-1.56,-0.19,-0.35,2023-01-03 15:30:04.253502,24h Change in %
71,320560.0,147910.0,66310.0,44740.0,39200.0,17210.0,16480.0,9400.0,8740.0,6810.0,2023-01-03 15:30:04.259210,Market Cap in M$
72,16787.32,1224.0,1.02,1.0,248.87,0.3477,1.0,0.07179,0.2577,0.7902,2023-01-03 16:00:05.348852,Price in $
73,12840.0,3250.0,16810.0,1900.0,379.0,928.0,3700.0,262.0,144.0,166.0,2023-01-03 16:00:05.355181,24h Volume in M$
74,-0.4,-0.76,0.02,0.07,-0.69,-2.13,0.05,-2.09,-0.38,-0.75,2023-01-03 16:00:05.360849,24h Change in %
75,320770.0,148050.0,66250.0,44780.0,39220.0,17250.0,16480.0,9390.0,8750.0,6800.0,2023-01-03 16:00:05.366858,Market Cap in M$
76,16787.29,1223.34,1.02,1.0,248.83,0.3478,1.0,0.07165,0.257,0.791,2023-01-03 16:30:04.369834,Price in $
77,12990.0,3260.0,17060.0,1920.0,380.0,914.0,3770.0,265.0,145.0,164.0,2023-01-03 16:30:04.375807,24h Volume in M$
78,-0.46,-0.76,0.0,-0.01,-0.77,-2.34,0.0,-2.44,-0.73,-0.83,2023-01-03 16:30:04.381130,24h Change in %
79,320630.0,147920.0,66240.0,44720.0,39200.0,17230.0,16470.0,9360.0,8720.0,6800.0,2023-01-03 16:30:04.386772,Market Cap in M$
80,16754.68,1221.85,1.02,1.0,248.4,0.3473,1.0,0.07111,0.2557,0.789,2023-01-03 17:00:05.308093,Price in $
81,13240.0,3320.0,17330.0,1940.0,382.0,899.0,3830.0,274.0,146.0,166.0,2023-01-03 17:00:05.314426,24h Volume in M$
82,-0.48,-0.65,-0.01,-0.05,-0.6,-2.6,0.01,-2.65,-0.83,-0.54,2023-01-03 17:00:05.320245,24h Change in %
83,320220.0,147840.0,66240.0,44700.0,39170.0,17240.0,16480.0,9300.0,8700.0,6790.0,2023-01-03 17:00:05.326329,Market Cap in M$
84,16849.19,1221.14,1.02,1.0,248.3,0.3471,1.0,0.0708,0.2545,0.7861,2023-01-03 17:30:03.738936,Price in $
85,13350.0,3310.0,17450.0,1950.0,382.0,893.0,3860.0,289.0,150.0,165.0,2023-01-03 17:30:03.745019,24h Volume in M$
86,-0.58,-0.69,0.01,-0.04,-0.6,-2.95,-0.09,-2.94,-1.46,-0.46,2023-01-03 17:30:03.750439,24h Change in %
87,320060.0,147780.0,66250.0,44700.0,39150.0,17230.0,16470.0,9260.0,8650.0,6770.0,2023-01-03 17:30:03.756348,Market Cap in M$
88,16854.11,1221.93,1.02,1.0,248.74,0.3475,1.0,0.07079,0.2549,0.7841,2023-01-03 18:00:04.212505,Price in $
89,13510.0,3320.0,17620.0,1960.0,383.0,883.0,3910.0,293.0,152.0,170.0,2023-01-03 18:00:04.219174,24h Volume in M$
90,-0.6,-0.64,0.09,-0.06,-0.43,-2.72,-0.09,-3.01,-1.19,-0.95,2023-01-03 18:00:04.224912,24h Change in %
91,320120.0,147830.0,66240.0,44690.0,39230.0,17250.0,16470.0,9260.0,8670.0,6750.0,2023-01-03 18:00:04.230963,Market Cap in M$
92,16871.28,1229.48,1.02,1.0,250.21,0.3472,1.0,0.07082,0.2552,0.7898,2023-01-03 18:30:03.190735,Price in $
93,13590.0,3330.0,17710.0,1950.0,384.0,876.0,3920.0,294.0,152.0,171.0,2023-01-03 18:30:03.196875,24h Volume in M$
94,-0.38,-0.64,0.1,-0.04,-0.46,-2.65,0.01,-2.9,-1.0,-0.69,2023-01-03 18:30:03.202339,24h Change in %
95,320470.0,147870.0,66240.0,44510.0,39210.0,17310.0,16470.0,9270.0,8680.0,6770.0,2023-01-03 18:30:03.208205,Market Cap in M$
96,16868.82,1228.28,1.02,1.0,250.02,0.3481,1.0,0.07098,0.2554,0.79,2023-01-03 19:00:07.407373,Price in $
97,13710.0,3360.0,17830.0,1970.0,386.0,865.0,3940.0,297.0,153.0,173.0,2023-01-03 19:00:07.413356,24h Volume in M$
98,-0.53,-0.84,0.12,-0.02,-0.51,-1.98,-0.03,-2.96,-1.31,-1.09,2023-01-03 19:00:07.418767,24h Change in %
