,time,crypto,pos,neg,neu,count
178,2023-01-04 08:30:07.249698,Cardano,59,8,33,100
179,2023-01-04 08:30:07.299112,Polygon,50,6,44,100
180,2023-01-04 11:00:08.404766,Bitcoin,46,13,41,100
181,2023-01-04 11:00:08.446835,Ethereum,49,12,38,99
182,2023-01-04 11:00:08.489679,Tether,35,18,47,100
183,2023-01-04 11:00:08.544694,USD Coin,26,23,51,100
184,2023-01-04 11:00:08.600264,BNB,72,11,17,100
185,2023-01-04 11:00:08.635069,XRP,37,10,52,99
186,2023-01-04 11:00:08.684900,Binance USD,14,50,36,100
187,2023-01-04 11:00:08.727260,Dogecoin,55,7,38,100
188,2023-01-04 11:00:08.765298,Cardano,53,9,38,100
189,2023-01-04 11:00:08.814356,Polygon,57,14,29,100
190,2023-01-04 14:30:08.690462,Bitcoin,62,7,31,100
191,2023-01-04 14:30:08.736722,Ethereum,70,7,23,100
192,2023-01-04 14:30:08.782329,Tether,49,17,33,99
193,2023-01-04 14:30:08.838633,USD Coin,27,19,54,100
194,2023-01-04 14:30:08.892204,BNB,74,7,19,100
195,2023-01-04 14:30:08.932189,XRP,53,11,36,100
196,2023-01-04 14:30:08.978755,Binance USD,12,39,49,100
197,2023-01-04 14:30:09.020815,Dogecoin,46,6,48,100
198,2023-01-04 14:30:09.059887,Cardano,49,6,45,100
199,2023-01-04 14:30:09.106508,Polygon,53,9,38,100
200,2023-01-04 16:00:11.095096,Bitcoin,47,11,42,100
201,2023-01-04 16:00:11.132656,Ethereum,59,2,39,100
202,2023-01-04 16:00:11.176360,Tether,41,16,41,98
203,2023-01-04 16:00:11.232136,USD Coin,28,18,54,100
204,2023-01-04 16:00:11.279569,BNB,62,27,11,100
205,2023-01-04 16:00:11.321359,XRP,43,9,48,100
206,2023-01-04 16:00:11.367486,Binance USD,12,39,49,100
207,2023-01-04 16:00:11.409495,Dogecoin,60,8,32,100
208,2023-01-04 16:00:11.453028,Cardano,65,4,31,100
209,2023-01-04 16:00:11.499426,Polygon,46,9,45,100
210,2023-01-04 17:00:11.681968,Bitcoin,57,10,33,100
211,2023-01-04 17:00:11.721796,Ethereum,43,3,53,99
212,2023-01-04 17:00:11.763366,Tether,36,16,47,99
213,2023-01-04 17:00:11.819383,USD Coin,29,16,55,100
214,2023-01-04 17:00:11.864234,BNB,69,5,26,100
215,2023-01-04 17:00:11.902754,XRP,61,10,29,100
216,2023-01-04 17:00:11.948879,Binance USD,14,38,48,100
217,2023-01-04 17:00:11.991481,Dogecoin,55,12,33,100
218,2023-01-04 17:00:12.030796,Cardano,54,11,35,100
219,2023-01-04 17:00:12.076488,Polygon,46,9,45,100
220,2023-01-04 17:30:08.401388,Bitcoin,42,12,45,99
221,2023-01-04 17:30:08.440338,Ethereum,46,8,45,99
222,2023-01-04 17:30:08.482886,Tether,38,13,49,100
223,2023-01-04 17:30:08.538748,USD Coin,29,14,57,100
224,2023-01-04 17:30:08.587010,BNB,59,8,33,100
225,2023-01-04 17:30:08.626971,XRP,34,8,58,100
226,2023-01-04 17:30:08.672774,Binance USD,13,44,43,100
227,2023-01-04 17:30:08.713644,Dogecoin,48,7,45,100
228,2023-01-04 17:30:08.754319,Cardano,49,11,40,100
229,2023-01-04 17:30:08.800279,Polygon,57,11,32,100
230,2023-01-04 18:30:09.658831,Bitcoin,43,8,48,99
231,2023-01-04 18:30:09.699793,Ethereum,43,3,54,100
232,2023-01-04 18:30:09.745465,Tether,42,10,48,100
233,2023-01-04 18:30:09.802609,USD Coin,29,14,57,100
234,2023-01-04 18:30:09.857785,BNB,69,5,26,100
235,2023-01-04 18:30:09.898388,XRP,24,7,69,100
236,2023-01-04 18:30:09.944921,Binance USD,45,38,17,100
237,2023-01-04 18:30:09.985250,Dogecoin,37,11,52,100
238,2023-01-04 18:30:10.029529,Cardano,58,5,37,100
239,2023-01-04 18:30:10.076406,Polygon,46,9,45,100
240,2023-01-04 19:00:08.967377,Bitcoin,53,8,39,100
241,2023-01-04 19:00:09.004185,Ethereum,54,4,42,100
242,2023-01-04 19:00:09.049955,Tether,45,13,42,100
243,2023-01-04 19:00:09.104779,USD Coin,36,8,56,100
244,2023-01-04 19:00:09.147061,BNB,54,31,15,100
245,2023-01-04 19:00:09.184141,XRP,24,14,62,100
246,2023-01-04 19:00:09.230557,Binance USD,46,38,16,100
247,2023-01-04 19:00:09.279753,Dogecoin,83,2,15,100
248,2023-01-04 19:00:09.322920,Cardano,54,12,34,100
249,2023-01-04 19:00:09.371675,Polygon,51,7,42,100
250,2023-01-04 20:30:08.963854,Bitcoin,51,14,35,100
251,2023-01-04 20:30:09.002207,Ethereum,53,9,38,100
252,2023-01-04 20:30:09.048732,Tether,46,12,42,100
253,2023-01-04 20:30:09.103660,USD Coin,39,6,55,100
254,2023-01-04 20:30:09.150974,BNB,44,43,13,100
255,2023-01-04 20:30:09.192262,XRP,49,7,44,100
256,2023-01-04 20:30:09.238370,Binance USD,43,38,19,100
257,2023-01-04 20:30:09.277409,Dogecoin,42,12,46,100
258,2023-01-04 20:30:09.320598,Cardano,58,16,26,100
259,2023-01-04 20:30:09.366127,Polygon,49,11,40,100
260,2023-01-04 21:00:10.772197,Bitcoin,41,11,48,100
261,2023-01-04 21:00:10.809867,Ethereum,54,7,39,100
262,2023-01-04 21:00:10.853839,Tether,45,14,41,100
263,2023-01-04 21:00:10.908922,USD Coin,40,6,54,100
264,2023-01-04 21:00:10.957197,BNB,51,31,18,100
265,2023-01-04 21:00:10.998891,XRP,48,11,40,99
266,2023-01-04 21:00:11.045074,Binance USD,46,38,16,100
267,2023-01-04 21:00:11.083742,Dogecoin,49,8,43,100
268,2023-01-04 21:00:11.124588,Cardano,60,13,27,100
269,2023-01-04 21:00:11.172013,Polygon,62,6,32,100
270,2023-01-04 21:30:09.284876,Bitcoin,49,12,38,99
271,2023-01-04 21:30:09.328685,Ethereum,44,7,49,100
272,2023-01-04 21:30:09.378108,Tether,47,18,35,100
273,2023-01-04 21:30:09.437818,USD Coin,40,9,51,100
274,2023-01-04 21:30:09.488452,BNB,40,27,33,100
275,2023-01-04 21:30:09.530180,XRP,43,11,45,99
276,2023-01-04 21:30:09.581738,Binance USD,45,33,22,100
